channelId,categoryTranslated,channelName,description,viewCount,subscriberCount,videoCount,publishedAt,language,country
UCblfuW_4rakIf2h6aqANefA,Sport,Red Bull,"Experience the world of Red Bull like you have never seen it before. With the best action sports clips and original series on the web, prepare for your stoke factor to be at an all time high.

Watch highlights from one-of-a-kind competitions like UCI Mountain Bike World Championships, Red Bull Rampage, Red Bull Crashed Ice, Frozen Rush, Straight Rhythm, Soap Box Race, Flugtag, Volcom Pipe Pro and many more.

Or get your binge on with our original series Who is J.O.B., Sheckler Sessions, Keep Your Tips Up, MX Nation, Raditudes, 4 Below Zero, On Track with Curtis Keene, Down Days, Pat Moore’s Blueprint, and Miles Above. 

Watch plenty more on Red Bull TV: www.redbull.tv",1921318055,7368676,6469,2006-09-23 03:44:21,en,AT
UCAN9EtZF6VbQDUUz6OiUxqA,Spiele,NOVRITSCH,"This is my airsoft sniper channel.
Check out my sniper rifle http://www.novritsch.com

play fair, safe and have fun!",425392549,3062110,283,2012-02-07 21:06:41,en,AT
UCV9OLReC5bMvuiCFGBdK7Mg,Unterhaltung,KsFreakWhatElse,Künstler aus Österreich. Wurzeln aus Deutschland und Albanien & mein Ziel 3 Millionen Abonnenten - also abonnier mich määääääääääääääääääääääääää,532983169,2154193,532,2012-11-26 17:58:07,de,AT
UCHOtaAJCOBDUWIcL4372D9A,Sport,Fabio Wibmer,"I'm Fabio Wibmer, 22 year old Street Trials and MTB Pro Rider from Austria. 
- Capturing my sport with a cam and uploading edits and videos here on YouTube -
Subscribe to join my adventure ;)",162404677,1328180,208,2008-10-30 16:25:47,de,AT
UC8TkgoBWpKPb7VqSaUt8g5g,Praktische Tipps & Styling,ViktoriaSarina,"Hallo ihr Lieben :)
Wir sind Viki und Sarina (wer hätte sich das denken können :D) Wir sind beste Freundinnen und Nachbarinnen und wohnen in Graz (Österreich). Mit unseren Videos wollen wir gemeinsam mit euch eine gute Zeit haben und fröhlich sein.
Herzlich Willkommen in der #VikiSarinaFam ♡

♡ Wir freuen uns, wenn ihr unseren Kanal abonniert - Jeden Dienstag und Samstag kommen neue Videos :)

CONTACT: https://www.studio71.com/de/kontakt/briefing/t/viktoriasarina/

Instagram: viktoriavs // sarina_vs
Musical.ly & Twitter & Snapchat: ViktoriaSarina


IMPRESSUM:
 
ViktoriaSarina (gleichzeitig verantwortlich für den Inhalt gem. § 55 Abs. 2 RStV)
Rungestr. 22-24, 3. HH
D – 10179 Berlin
 
E-Mail: viktoriasarina@studio71creator.com 
Kontaktformular: https://www.studio71.com/de/c/viktoriasarina/",303755300,1315716,433,2011-11-09 21:32:08,de,AT
UCO7iqpYcqmeRz0my_who9kQ,Praktische Tipps & Styling,Maqaroon,"Maqaroon & Cute Life Hacks is a place where girls can get creative inspiration, DIY ideas and good life advice without the glorification of money, beauty or body image.

Hello! I'm Joanna Zhou, a graphic designer and manga artist. My dream is to inspire girls to live creatively and develop ambitions for work and business. I believe all girls should build their self-confidence based on their intelligence & creativity instead of defining themselves by their appearance. I like fashion as much as everyone but at the end of the day, our looks are only temporary. Focusing on inner skills that grow with time is what will truly make you happy!

♥ DIY Slime 

♥ Budget Gift Ideas

♥ Life Hacks

♥ Fun Games & Apps

♥ Cute Food

♥ ASMR

Channel started on Dec 4, 2013.",125686997,1246370,150,2011-06-01 22:57:33,en,AT
UCwy2Kt-F4D4Y_CJQmonmLhg,Praktische Tipps & Styling,Cute Life Hacks,"Maqaroon & Cute Life Hacks is a place where girls can get creative inspiration, DIY ideas and good life advice without the glorification of money, beauty or body image.

Hello! I'm Joanna Zhou, a graphic designer and manga artist. My dream is to inspire girls to live creatively and develop ambitions for work and business. I believe all girls should build their self-confidence based on their intelligence & creativity instead of defining themselves by their appearance. I like fashion as much as everyone but at the end of the day, our looks are only temporary. Focusing on inner skills that grow with time is what will truly make you happy!

♥ DIY Slime 

♥ Budget Gift Ideas

♥ Life Hacks

♥ Fun Games & Apps

♥ Boredom Busters

♥ Cute Food

Channel started on July 16th 2015",124818304,1171270,95,2015-05-10 10:06:24,en,AT
UCQM0bS4_04-Y4JuYrgmnpZQ,Spiele,Chaosflo44,"Hey,
Willkommen auf meinem Kanal! Hier findest du täglich um 12:00 Uhr kinderfreundliche Minecraft Videos aller Art :D

● Serien
● Mods
● Mehr Mods
● Noch mehr Mods
● Adventure Maps
● Minigames
● Andere witzige Spiele
● & viel mehr! :)

JEDE Woche:
★ 3x Utopia
★ 3x Chaos
★ 1x Special
★ & Vieles mehr!

►Wie bin ich zu erreichen? - Twitter, Instagram & Ask.fm
►►► T-Shirts: http://shop.chaosflo44.com

► Video & Audioaufnahme: Fraps v3.5.99
► Schnitt- & Renderprogramm: Sony Vegas Pro 13.0

►Mikro: http://amzn.to/1BJHrjM
►Grafikkarte: http://amzn.to/2gYVyhX
►Prozessor: http://amzn.to/2hiTZi8
►Mainboard: http://amzn.to/2gEN8AG
►Monitor: http://amzn.to/2hpXUKt
►Gaming-Notebook: http://bit.ly/NBOneGameStarPro17

●●● Und JA, ich komme aus Österreich und bin 19 :)

►► BUSINESS: chaosflo44yt@gmail.com",694557174,1111272,1958,2009-10-25 11:55:15,de,AT
UCmOVQgF8082QYnf45uOBsoA,Unterhaltung,KrappiWhatelse,"Jo Leute! Hier auf diesem Kanal findet ihr nur unlustige Videos. Aber wenn ihr sinnfreie Unterhaltung feiert, abonniert einfach diesen Kanal :D:D

Peace, euer krappi",66599160,1110665,79,2013-12-08 15:50:36,de,NULL
UCRczwdk2G-MjcdWQTupFrAw,Spiele,DieBuddiesZocken,"Hey Leute,

wir sind DieBuddiesZocken - also Beni und Haubna.

Hier gibt es hauptsächlich Fortnite!

► Challenges
► Tipps & Tricks
► Verrückte riesige Gebäude bauen
► und vieles mehr :)

Also, wenn ihr Bock drauf habt ► ABONNIEREN und Viel Spaß!
___________________________

TÄGLICH EIN NEUES VIDEO (15:00)
___________________________

► Hauptkanal: TwoEpicBuddies
► Unser Teamspeak: twoepicbuddies.de
► Unser Discord: https://discord.gg/buddies",282085678,1065069,1647,2013-11-01 21:08:22,de,AT
